,coal_c,elec_g,elec_c,hydro_g,nuclear_g,gas_g,oil_c,oil_g,country_Australia,country_Austria,country_Bangladesh,country_Belgium,country_Bulgaria,country_Canada,country_Denmark,country_Egypt,country_Finland,country_France,country_Germany,country_Greece,country_Hungary,country_Iceland,country_Indonesia,country_Ireland,country_Italy,country_Luxembourg,country_Netherlands,country_Norway,country_Poland,country_Portugal,country_Switzerland,country_UK,country_USA,country_Venezuela,country_infrequent_sklearn
1458,-0.2249639946818963,2.3402850653129965,2.120185735934252,1.752508748184646,5.924331448074059,-0.27512254904976585,0.5640011942046985,-0.25129545366178885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,0.23722562716333026,-0.6812088491748205,-0.5223149651022726,-0.34118170356293953,-0.4034042857537125,-0.27512254904976585,0.4379739795093967,-0.25129545366178885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1751,-0.5879728727412373,-0.39496205727597467,-0.6136324839285888,-0.28653868353106576,-0.3662692526880371,-0.20697956008674653,-0.371400799311541,-0.1472511725948104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2264,-0.5814752467577368,-0.02743531212190099,-0.23124037384338975,-0.34118170356293953,-0.4034042857537125,-0.27512254904976585,0.872067719015436,-0.25129545366178885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2134,0.3463367049994714,0.3047523229212041,0.04271218263555882,-0.31869178689718936,1.3886843746296271,-0.27512254904976585,0.49398607492953084,-0.25129545366178885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1849,-0.5008066071889944,-0.44443681143133074,-0.6478765534884574,-0.3133712823151385,-0.4034042857537125,-0.23360173140204796,-0.6045511464978492,-0.2479003244901296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
638,-0.6479839655511149,-0.6812088491748205,-0.8796708554425899,-0.3387946663720735,-0.4034042857537125,-0.25863634204258373,-0.929421299934627,-0.21576220211610733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1244,-0.6382497862475311,-0.5615859614491917,-0.7738186315364184,-0.20888807611735036,-0.4034042857537125,-0.26943175463099034,-0.7774884911075132,-0.226044941005183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1109,-0.11217501534566061,0.0856498402331986,-0.02577595648417832,-0.3411241845944849,-0.18909265214085955,0.7604554911050795,0.42397095565436316,-0.25129545366178885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1123,-0.22251206034849988,2.2165981799246066,1.967989871223725,1.7611365934528365,5.166850674097595,-0.27512254904976585,0.956085862145637,-0.25129545366178885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
